2025-05-19 13:44:32,278 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051208/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250512.nc | Header Content-Type: text/html
2025-05-19 13:44:32,541 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051308/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250513.nc | Header Content-Type: text/html
2025-05-19 13:44:32,801 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051408/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250514.nc | Header Content-Type: text/html
2025-05-19 13:44:33,063 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051508/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250515.nc | Header Content-Type: text/html
2025-05-19 13:44:33,329 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051608/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250516.nc | Header Content-Type: text/html
2025-05-19 13:44:33,592 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051708/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250517.nc | Header Content-Type: text/html
2025-05-19 13:44:33,857 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051808/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250518.nc | Header Content-Type: text/html
2025-05-19 13:44:34,123 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025051908/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250519.nc | Header Content-Type: text/html
2025-05-19 13:44:34,426 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025041414/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250414.nc | Header Content-Type: text/html
2025-05-19 13:44:34,707 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025041514/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250415.nc | Header Content-Type: text/html
2025-05-19 13:44:34,965 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025041614/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250416.nc | Header Content-Type: text/html
2025-05-19 13:44:35,224 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC06CA12-01/2025041714/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC06CA12-01/dispersion_20250417.nc | Header Content-Type: text/html
